x; y; f(x,y) = sin(x)cos(y); grad f(x,y)
-3;-3;0.139707749;0.960170287
-3;-2.8;0.132966424;0.885519517
-3;-2.6;0.120924148;0.775565879
-3;-2.4;0.104061007;0.634692876
-3;-2.2;0.083049282;0.468516671
-3;-2;0.058726645;0.283662185
-3;-1.8;0.032062761;0.087498983
-3;-1.6;0.004120637;-0.112152527
-3;-1.4;-0.023985765;-0.30733287
-3;-1.2;-0.051135929;-0.490260821
-3;-1;-0.076247466;-0.653643621
-3;-0.8;-0.098319256;-0.790967712
-3;-0.6;-0.116471369;-0.896758416
-3;-0.4;-0.129980135;-0.966798193
-3;-0.2;-0.138307003;-0.998294776
-3;0;-0.141120008;-0.989992497
-3;0.2;-0.138307003;-0.942222341
-3;0.4;-0.129980135;-0.856888753
-3;0.6;-0.116471369;-0.737393716
-3;0.8;-0.098319256;-0.588501117
-3;1;-0.076247466;-0.416146837
-3;1.2;-0.051135929;-0.227202095
-3;1.4;-0.023985765;-0.029199522
-3;1.6;0.004120637;0.169967143
-3;1.8;0.032062761;0.362357754
-3;2;0.058726645;0.540302306
-3;2.2;0.083049282;0.696706709
-3;2.4;0.104061007;0.825335615
-3;2.6;0.120924148;0.921060994
-3;2.8;0.132966424;0.980066578
-3;3;0.139707749;1
-2.8;-3;0.331635755;0.885519517
-2.8;-2.8;0.315633319;0.775565879
-2.8;-2.6;0.287047578;0.634692876
-2.8;-2.4;0.247018157;0.468516671
-2.8;-2.2;0.197140901;0.283662185
-2.8;-2;0.139404259;0.087498983
-2.8;-1.8;0.076110009;-0.112152527
-2.8;-1.6;0.009781494;-0.30733287
-2.8;-1.4;-0.056936979;-0.490260821
-2.8;-1.2;-0.121385554;-0.653643621
-2.8;-1;-0.18099487;-0.790967712
-2.8;-0.8;-0.233388492;-0.896758416
-2.8;-0.6;-0.276477651;-0.966798193
-2.8;-0.4;-0.308544519;-0.998294776
-2.8;-0.2;-0.32831069;-0.989992497
-2.8;0;-0.33498815;-0.942222341
-2.8;0.2;-0.32831069;-0.856888753
-2.8;0.4;-0.308544519;-0.737393716
-2.8;0.6;-0.276477651;-0.588501117
-2.8;0.8;-0.233388492;-0.416146837
-2.8;1;-0.18099487;-0.227202095
-2.8;1.2;-0.121385554;-0.029199522
-2.8;1.4;-0.056936979;0.169967143
-2.8;1.6;0.009781494;0.362357754
-2.8;1.8;0.076110009;0.540302306
-2.8;2;0.139404259;0.696706709
-2.8;2.2;0.197140901;0.825335615
-2.8;2.4;0.247018157;0.921060994
-2.8;2.6;0.287047578;0.980066578
-2.8;2.8;0.315633319;1
-2.8;3;0.331635755;0.980066578
-2.6;-3;0.51034249;0.775565879
-2.6;-2.8;0.485716909;0.634692876
-2.6;-2.6;0.441727328;0.468516671
-2.6;-2.4;0.380127472;0.283662185
-2.6;-2.2;0.303373133;0.087498983
-2.6;-2;0.214524265;-0.112152527
-2.6;-1.8;0.117122991;-0.30733287
-2.6;-1.6;0.015052394;-0.490260821
-2.6;-1.4;-0.087618295;-0.653643621
-2.6;-1.2;-0.18679592;-0.790967712
-2.6;-1;-0.27852658;-0.896758416
-2.6;-0.8;-0.359153264;-0.966798193
-2.6;-0.6;-0.425461642;-0.998294776
-2.6;-0.4;-0.474808206;-0.989992497
-2.6;-0.2;-0.505225665;-0.942222341
-2.6;0;-0.515501372;-0.856888753
-2.6;0.2;-0.505225665;-0.737393716
-2.6;0.4;-0.474808206;-0.588501117
-2.6;0.6;-0.425461642;-0.416146837
-2.6;0.8;-0.359153264;-0.227202095
-2.6;1;-0.27852658;-0.029199522
-2.6;1.2;-0.18679592;0.169967143
-2.6;1.4;-0.087618295;0.362357754
-2.6;1.6;0.015052394;0.540302306
-2.6;1.8;0.117122991;0.696706709
-2.6;2;0.214524265;0.825335615
-2.6;2.2;0.303373133;0.921060994
-2.6;2.4;0.380127472;0.980066578
-2.6;2.6;0.441727328;1
-2.6;2.8;0.485716909;0.980066578
-2.6;3;0.51034249;0.921060994
-2.4;-3;0.66870348;0.634692876
-2.4;-2.8;0.636436499;0.468516671
-2.4;-2.6;0.578796803;0.283662185
-2.4;-2.4;0.498082304;0.087498983
-2.4;-2.2;0.397510836;-0.112152527
-2.4;-2;0.281091866;-0.30733287
-2.4;-1.8;0.15346665;-0.490260821
-2.4;-1.6;0.019723202;-0.653643621
-2.4;-1.4;-0.114806547;-0.790967712
-2.4;-1.2;-0.244759321;-0.896758416
-2.4;-1;-0.364954314;-0.966798193
-2.4;-0.8;-0.47059973;-0.998294776
-2.4;-0.6;-0.557483819;-0.989992497
-2.4;-0.4;-0.622142788;-0.942222341
-2.4;-0.2;-0.661998888;-0.856888753
-2.4;0;-0.675463181;-0.737393716
-2.4;0.2;-0.661998888;-0.588501117
-2.4;0.4;-0.622142788;-0.416146837
-2.4;0.6;-0.557483819;-0.227202095
-2.4;0.8;-0.47059973;-0.029199522
-2.4;1;-0.364954314;0.169967143
-2.4;1.2;-0.244759321;0.362357754
-2.4;1.4;-0.114806547;0.540302306
-2.4;1.6;0.019723202;0.696706709
-2.4;1.8;0.15346665;0.825335615
-2.4;2;0.281091866;0.921060994
-2.4;2.2;0.397510836;0.980066578
-2.4;2.4;0.498082304;1
-2.4;2.6;0.578796803;0.980066578
-2.4;2.8;0.636436499;0.921060994
-2.4;3;0.66870348;0.825335615
-2.2;-3;0.800405373;0.468516671
-2.2;-2.8;0.761783374;0.283662185
